track_name,artist(s)_name,released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mood
WANDA,Quevedo,2023,888,175399345,11,7,176,E,Minor,72,96,63,25,0,21,7,Felicità
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",2023,332,86444842,11,10,140,F,Minor,65,87,74,22,0,42,4,Felicità
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2022,1064,81350745,42,26,120,C#,Minor,84,54,51,47,0,12,40,Relax
Far,SZA,2022,680,51641685,2,1,116,D,Major,61,48,55,67,0,16,8,Relax
What It Is (Solo Version),Doechii,2023,804,95131998,29,24,172,C#,Minor,74,76,76,6,0,10,9,Felicità
Enchanted (Taylor's Version),Taylor Swift,2023,148,39578178,32,8,82,G#,Major,51,22,53,1,0,15,3,Felicità
People Pt.2 (feat. IU),"IU, Agust D",2023,209,95816024,4,11,89,G,Minor,73,44,57,39,0,32,6,Relax
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2023,320,116334601,5,2,142,G,Minor,70,76,79,26,0,11,7,Felicità
"Sex, Drugs, Etc.",Beach Weather,2016,3006,480507035,47,87,144,E,Minor,57,47,84,1,1,52,4,Carica
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",1958,6290,295998468,89,158,113,G,Major,73,72,32,77,0,15,5,Felicità
Rich - Interlude,Kendrick Lamar,2022,1103,41210087,0,0,104,G,Major,44,74,42,88,0,9,9,Felicità
S-Class,Stray Kids,2023,290,65496046,9,5,105,F,Minor,89,67,78,9,0,7,33,Felicità
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",2022,138,1365184,13,2,105,G,Major,82,62,74,10,0,33,7,Ballabile
Thunder,"Prezioso, Gabry Ponte, LUM!X",2021,4846,422691058,54,259,101,C#,Major,67,40,90,3,0,34,6,Ballabile
Easy On Me,Adele,2021,10195,1406111294,258,657,142,F,Major,60,13,37,58,0,13,3,Tristezza
Sparks,Coldplay,2000,10826,624101957,24,805,103,C#,Major,37,17,27,75,5,10,3,Tristezza
Chance,Paulo Londra,2022,225,89566512,11,7,138,C#,Minor,72,22,46,24,0,9,6,Ballabile
Heather,Conan Gray,2020,6170,1301799902,82,231,92,F,Major,47,25,43,62,0,32,3,Relax
Love Language,SZA,2022,1127,110849052,16,8,65,A,Minor,71,55,26,85,0,13,8,Relax
Good Looking,Suki Waterhouse,2017,2264,184706613,11,25,150,E,Major,37,27,56,8,0,13,3,Felicità
Before You Go,Lewis Capaldi,2019,8327,1608045237,205,625,112,D#,Major,45,19,60,63,0,9,6,Felicità
Take On Me,a-ha,1984,44927,1479115056,34,"5,108",84,F#,Minor,57,86,90,2,0,9,5,Felicità
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",2021,903,177129919,30,15,90,F#,Minor,63,75,75,17,0,11,8,Felicità
Bound 2,Kanye West,2013,19806,703301727,33,274,149,C#,Major,37,28,66,14,0,9,5,Carica
Apocalypse,Cigarettes After Sex,2017,13091,841749534,61,790,94,F,Major,37,17,47,2,46,11,3,Neutro
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2023,1444,104992946,0,0,148,A,Major,90,74,68,14,0,10,19,Felicità
Agosto,Bad Bunny,2022,897,246127838,6,8,115,C#,Minor,85,72,58,9,0,49,12,Felicità
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2022,1401,248511839,26,17,128,C#,Minor,82,42,75,6,0,63,6,Carica
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2023,267,39709092,9,25,130,F,Major,63,36,34,76,0,35,9,Relax
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2023,5120,211050784,161,246,143,A,Major,64,31,87,4,4,8,4,Carica
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2022,620,54937991,17,3,115,F,Minor,90,74,54,16,0,13,28,Ballabile
