track_name,artist(s)_name,released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mood
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2021,580,258316038,24,93,122,F#,Minor,80,62,69,28,0,13,7,Carica
Acrï¿½ï¿½s,Shakira,2023,955,123124076,37,79,144,B,Major,75,35,48,84,0,10,12,Tristezza
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,2023,356,88791109,4,0,121,F#,Minor,64,67,80,0,0,36,3,Felicità
Take My Breath,The Weeknd,2021,6392,432702334,174,344,121,G#,Major,75,53,74,2,0,11,5,Carica
Yellow,Chris Molitor,1999,31358,1755214421,196,"4,053",173,B,Major,43,28,66,0,0,23,3,Carica
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",2022,836,159240673,14,13,102,A,Major,84,43,75,5,0,6,8,Ballabile
The Night We Met,Lord Huron,2015,18515,1410088830,70,939,174,D,Major,45,10,37,97,25,64,4,Tristezza
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",2022,1682,276259178,24,30,119,C#,Minor,75,48,53,18,0,18,34,Ballabile
Golden,Harry Styles,2019,8429,807015863,85,200,140,E,Minor,45,25,84,21,0,13,6,Carica
Yet To Come,BTS,2022,829,302006641,32,26,172,C#,Major,56,68,89,4,0,33,19,Carica
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2023,332,70106975,18,5,120,A,Major,78,5,30,21,0,13,5,Ballabile
Memories,Maroon 5,2019,9974,1759567999,272,"1,066",91,B,Major,77,60,32,84,0,8,5,Relax
Moonlight,Kali Uchis,2023,2649,256483385,67,57,137,G,Minor,64,88,72,51,0,17,5,Felicità
Maan Meri Jaan,King,2022,288,319566866,11,1,96,F#,Minor,70,40,51,35,0,10,4,Relax
Run Rudolph Run - Single Version,Chuck Berry,1958,8612,245350949,120,52,152,G,Minor,69,94,71,79,0,7,8,Felicità
Con La Brisa,"Ludwig Goransson, Foudeqush",2022,486,71095708,8,7,114,D,Minor,62,25,44,51,33,14,3,Relax
Acapulco,Jason Derulo,2021,3098,363467642,111,182,122,A#,Major,77,51,79,5,0,16,5,Carica
Bloody Mary,Lady Gaga,2011,3909,372476382,66,277,100,A,Minor,59,49,65,2,0,13,3,Felicità
"Hey, Mickey!",Baby Tate,2016,482,122763672,9,12,135,D,Major,92,73,51,55,0,15,6,Ballabile
cï¿½ï¿½mo dormi,Rels B,2022,1452,331511413,16,20,126,C#,Major,63,56,43,24,0,12,23,Ballabile
Ghost,Justin Bieber,2021,5866,1167330737,107,95,154,D,Major,61,41,74,21,0,40,6,Carica
Surface Pressure,Jessica Darrow,2021,1756,267758538,38,20,180,D,Major,65,37,58,2,0,4,31,Felicità
Atlantis,Seafret,2015,3045,571386359,43,134,166,G#,Minor,40,23,48,5,0,12,3,Neutro
Si Te La Encuentras Por Ahï¿,Feid,2022,1379,179061440,23,18,172,G#,Minor,74,46,58,15,0,13,8,Felicità
Counting Stars,OneRepublic,2013,29215,2011464183,179,"3,394",122,C#,Minor,66,48,71,6,0,12,4,Carica
Rockin' Around The Christmas Tree,Brenda Lee,1958,14994,769213520,191,206,140,G#,Major,70,85,41,71,0,45,5,Ballabile
Todo De Ti,Rauw Alejandro,2020,11975,1168642797,188,268,128,D#,Minor,81,57,63,40,1,10,4,Carica
Don't ever say love me (feat. RM of BTS),"RM, Colde",2023,105,34502215,5,5,145,B,Minor,54,19,48,36,0,37,5,Tristezza
Hype Boy,NewJeans,2022,892,363472647,20,12,100,E,Minor,59,78,94,27,0,29,23,Felicità
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,2023,516,52135248,73,42,123,F#,Major,69,82,76,6,0,6,3,Felicità
Shut up My Moms Calling,Hotel Ugly,2020,1788,405136812,1,19,139,A,Minor,48,37,41,32,0,10,10,Tristezza
The Scientist,Coldplay,2002,30992,1608164312,124,"7,827",146,F,Major,56,21,44,73,0,11,2,Tristezza
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2022,86,139836056,11,0,94,A,Major,59,44,56,80,0,6,3,Relax
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2020,15894,1802514301,198,544,103,F#,Minor,70,92,83,1,0,7,6,Felicità
THE SHADE,Rex Orange County,2022,1189,244928911,17,16,120,F,Major,90,73,51,39,0,9,6,Ballabile
Daylight,David Kushner,2023,3528,387570742,80,182,130,D,Minor,51,32,43,83,0,9,3,Relax
Feliz Navidad,Josï¿½ï¿½ Felic,1970,3788,520034544,21,10,148,D,Major,50,96,82,47,0,34,4,Felicità
Holly Jolly Christmas,Michael Bublï¿,2011,7655,476244795,5,291,151,G,Major,65,70,47,87,0,9,4,Ballabile
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,2023,604,125917280,22,0,140,D#,Minor,66,43,76,49,0,12,3,Carica
Calm Down,Rï¿½ï,2022,4013,445763624,107,750,107,B,Major,81,82,78,38,0,12,4,Felicità
Last Night,Morgan Wallen,2023,2420,429829812,52,15,204,F#,Major,52,52,68,46,0,15,4,Carica
Yo Voy (feat. Daddy Yankee),Zion & Lennox,2004,2954,527033089,18,0,95,A#,Major,81,56,70,4,0,5,24,Ballabile
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2021,2619,350381515,47,1,130,F#,Major,63,49,73,5,0,9,3,Carica
The Great War,Taylor Swift,2022,1274,181382590,1,11,96,F,Major,57,55,74,22,0,8,4,Felicità
I'm Good (Blue),"Bebe Rexha, David Guetta",2022,12482,1109433169,291,537,128,G,Minor,56,38,97,4,0,35,4,Carica
Ditto,NewJeans,2022,1154,397582059,28,11,134,F#,Minor,81,18,64,3,0,10,11,Ballabile
Double Fantasy (with Future),"The Weeknd, Future",2023,1169,96180277,36,28,119,A,Minor,60,10,57,1,0,50,3,Ballabile
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2022,802,212109195,16,23,130,E,Major,91,91,96,3,0,3,9,Felicità
Still D.R.E.,"Dr. Dre, Snoop Dogg",1999,33966,1210599487,141,"6,591",93,B,Major,81,53,78,18,0,6,24,Ballabile
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2019,2605,236872197,15,50,98,F#,Minor,68,33,43,38,0,36,14,Relax
10 Things I Hate About You,Leah Kate,2022,1301,185550869,23,15,154,G#,Major,54,45,79,1,0,17,5,Carica
Demons,Imagine Dragons,2012,26694,1840364617,65,"3,425",180,D#,Major,33,38,71,20,0,28,5,Carica
You Proof,Morgan Wallen,2022,2128,367814306,37,9,120,A,Major,73,64,85,25,0,61,3,Carica
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2020,12854,1699402402,237,636,91,G,Minor,70,76,72,22,0,27,4,Felicità
Like Crazy,Jimin,2023,596,363369738,8,23,120,G,Major,63,36,73,0,0,36,4,Carica
Romantic Homicide,d4vd,2022,2335,681583126,82,50,132,F#,Major,56,20,55,45,1,32,3,Felicità
ýýý98 Braves,Morgan Wallen,2023,282,56533272,6,0,142,D,Major,49,48,67,10,0,26,3,Carica
Made You Look,Meghan Trainor,2022,3956,502574952,142,127,145,A#,Major,84,88,53,35,0,8,7,Ballabile
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2022,3107,127309180,4,22,153,A#,Minor,55,50,78,19,0,11,35,Carica
THE LONELIEST,Mï¿½ï¿½ne,2022,1585,225093344,78,328,130,D,Major,52,24,60,0,0,8,3,Felicità
FLOWER,JISOO,2023,839,232896922,20,20,124,A,Minor,84,64,39,3,0,11,4,Ballabile
Que Vuelvas,"Carin Leon, Grupo Frontera",2022,763,2762,21,21,162,A#,Major,49,78,64,19,0,11,4,Carica
The Business,Tiï¿½ï¿,2020,14311,1062345656,255,582,120,G#,Minor,80,24,62,41,2,11,23,Ballabile
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",2022,995,463564958,12,9,136,B,Minor,77,79,73,15,0,27,10,Felicità
on the street (with J. Cole),"j-hope, J. Cole",2023,615,116599790,22,8,94,B,Minor,68,81,82,53,0,9,13,Felicità
In My Head,Lil Tjay,2022,1185,190981339,21,31,143,C#,Major,68,41,55,16,0,10,12,Ballabile
Still Don't Know My Name,Labrinth,2019,6332,563902868,47,266,88,F,Major,31,31,63,47,27,21,12,Felicità
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2022,3501,299634472,69,51,124,G,Major,81,68,63,17,0,10,22,Felicità
Formula,Labrinth,2019,3444,554875730,24,102,145,B,Major,57,23,66,4,6,15,4,Felicità
Silent Hill,"Kendrick Lamar, Kodak Black",2022,3028,123216717,22,23,140,C#,Minor,92,78,57,46,0,14,9,Felicità
Phantom Regret by Jim,The Weeknd,2022,768,31959571,1,3,108,A,Minor,46,23,48,75,30,14,4,Relax
Mastermind,Taylor Swift,2022,1936,218320587,7,13,126,E,Major,66,12,35,55,0,9,14,Tristezza
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",2023,4277,177740666,145,213,128,G,Major,60,23,91,0,0,12,3,Ballabile
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",2022,2341,279717388,37,38,110,C#,Major,91,59,82,8,0,6,8,Carica
Shake It Off,Taylor Swift,2014,21335,1113838873,328,"1,378",160,G,Major,65,95,80,5,0,41,16,Felicità
Hope,XXXTENTACION,2018,3659,1200808494,11,267,146,A,Minor,59,23,46,66,0,15,6,Tristezza
Better Than Revenge (Taylor's Version),Taylor Swift,2023,86,30343206,3,3,146,B,Minor,50,67,89,0,0,19,8,Carica
Classy 101,"Feid, Young Miko",2023,2610,335222234,43,54,100,B,Major,86,67,66,14,0,12,16,Felicità
Volando - Remix,"Sech, Bad Bunny, Mora",2021,3272,610045621,101,70,154,F#,Major,66,63,69,21,0,11,7,Carica
Another Love,Tom Odell,2012,18371,1813673666,250,"3,394",123,E,Minor,45,13,54,70,0,9,4,Felicità
2 Be Loved (Am I Ready),Lizzo,2022,3682,247689123,41,158,156,G,Major,72,92,77,9,0,8,11,Felicità
PUFFIN ON ZOOTIEZ,Future,2022,2350,254218729,28,23,125,G#,Major,88,28,66,6,0,13,31,Carica
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1970,2877,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,16,54,110,A,Major,53,75,69,7,0,17,3,Carica
Excuses,"Intense, AP Dhillon, Gurinder Gill",2020,272,327498031,7,2,95,F,Minor,84,49,72,8,0,15,8,Ballabile
Toxic,BoyWithUke,2021,1795,582981380,34,118,180,G#,Minor,59,69,61,84,0,46,36,Carica
Something in the Orange,Zach Bryan,2022,3282,449701773,67,46,110,G,Major,59,22,38,42,0,12,3,Relax
Forgot About Dre,"Eminem, Dr. Dre",1999,19067,675039469,78,"1,674",134,G#,Major,93,61,74,9,0,17,8,Carica
Danger (Spider) (Offset & JID),"Offset, JID",2023,214,24975653,3,6,143,B,Major,83,25,69,4,0,23,12,Carica
Dance The Night (From Barbie The Album),Dua Lipa,2023,2988,127408954,0,143,110,B,Minor,67,78,85,2,0,33,5,Felicità
Fim de Semana no Rio,teto,2022,315,139193812,27,31,119,C#,Minor,87,28,50,12,0,10,10,Ballabile
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2022,2415,323437194,33,30,110,A,Major,66,19,32,69,0,12,4,Tristezza
Sugar Rush Ride,TOMORROW X TOGETHER,2023,359,107642809,12,13,125,A#,Minor,71,83,89,1,0,17,9,Felicità
The Color Violet,Tory Lanez,2021,2585,415932686,3,21,105,F#,Minor,65,46,53,16,0,9,5,Ballabile
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018,24094,2808096550,372,843,90,D,Major,76,91,50,54,0,7,5,Ballabile
Bye Bye,"Marshmello, Juice WRLD",2022,766,84697729,16,9,83,D#,Minor,65,24,53,6,0,51,4,Ballabile
Die For You,Joji,2022,1703,246390068,38,36,148,G#,Major,47,15,52,38,13,29,5,Felicità
Dawn FM,The Weeknd,2022,811,53933526,1,6,78,A,Minor,27,10,49,62,0,49,5,Tristezza
Nxde,(G)I-DLE,2022,430,170709584,14,9,136,E,Minor,73,65,91,4,0,48,18,Felicità
Where Did You Go?,"MNEK, Jax Jones",2022,4531,300983101,135,119,127,A#,Major,77,53,78,19,0,29,4,Carica
Una Noche en Medellï¿½,Cris Mj,2022,5415,682475162,46,53,96,A#,Minor,87,82,53,10,0,5,8,Ballabile
La Jumpa,"Arcangel, Bad Bunny",2022,3794,538115192,47,53,123,G#,Major,71,58,70,30,0,32,19,Carica
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2022,1351,106919680,26,17,150,G#,Minor,82,82,66,13,0,11,6,Felicità
San Lucas,Kevin Kaarl,2019,407,244891912,5,5,92,G,Major,58,27,36,86,0,9,3,Relax
Butter,BTS,2021,4779,1143647827,180,223,110,G#,Major,79,70,36,0,0,6,11,Ballabile
we fell in love in october,girl in red,2018,6858,723043854,31,15,130,G,Major,57,24,37,11,18,16,3,Ballabile
In The Stars,Benson Boone,2022,2224,382199619,48,87,78,A#,Major,36,30,54,34,0,14,5,Felicità
Miss You,Southstar,1982,2020,154356956,77,119,145,A,Major,66,24,58,17,0,19,5,Ballabile
Car's Outside,James Arthur,2019,794,265882712,38,61,150,A,Major,34,24,56,4,0,11,3,Felicità
Falling,Harry Styles,2019,7556,1023187129,124,254,110,E,Major,57,6,27,84,0,9,3,Tristezza
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",2023,727,94186466,17,28,90,A,Minor,60,13,53,4,0,21,4,Ballabile
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2022,1492,132171975,26,15,144,E,Major,47,7,50,32,0,7,4,Tristezza
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2019,15010,2484812918,453,"1,785",117,A,Minor,76,77,52,4,0,8,3,Ballabile
BREAK MY SOUL,Beyoncï¿,2022,9724,354614964,222,259,115,C#,Minor,70,87,88,4,0,26,8,Felicità
august,Taylor Swift,2020,7324,607123776,25,61,90,F,Major,51,42,61,53,0,9,3,Felicità
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,2023,845,145458418,12,47,108,D,Major,67,55,67,60,0,80,5,Ballabile
Cigarettes,Juice WRLD,2021,975,185408548,11,10,160,D,Major,60,47,62,3,0,38,4,Carica
Tak Segampang Itu,Anggi Marito,2022,213,179659294,7,0,130,F,Major,51,18,44,76,0,11,3,Tristezza
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2022,1420,155653938,13,17,78,A,Major,67,22,59,76,1,15,16,Relax
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",1950,10585,473248298,126,406,143,D,Major,60,86,32,88,0,34,6,Felicità
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2023,871,66902503,25,32,128,B,Major,78,59,65,10,0,26,5,Carica
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2023,5184,156338624,154,102,133,F,Major,70,86,81,25,0,25,5,Felicità
Let Me Down Slowly,Alec Benjamin,2018,5897,1374581173,0,885,150,C#,Minor,65,51,55,73,0,14,3,Ballabile
It's the Most Wonderful Time of the Year,Andy Williams,1963,8879,663832097,182,160,202,G,Major,24,76,60,77,0,12,4,Carica
Forget Me,Lewis Capaldi,2022,2520,239411309,93,84,102,C#,Minor,67,72,74,30,0,36,4,Felicità
Bad Habit,Steve Lacy,2022,8186,822633917,155,131,169,C#,Major,69,69,51,63,0,38,4,Felicità
Beautiful Girl,Luciano,2022,710,160035717,16,18,140,B,Minor,84,61,42,31,0,9,9,Ballabile
LOVE DIVE,IVE,2022,753,305771063,28,13,118,C#,Minor,70,54,71,0,0,33,4,Carica
fukumean,Gunna,2023,1096,95217315,60,48,130,C#,Minor,85,22,62,12,0,28,9,Ballabile
Andrea,"Buscabulla, Bad Bunny",2022,1195,344055883,8,13,103,C#,Minor,80,45,62,76,0,10,38,Ballabile
El Azul,"Junior H, Peso Pluma",2023,692,354495408,10,6,144,A,Minor,56,84,65,23,0,10,6,Felicità
Sacrifice,The Weeknd,2022,4440,326792833,81,133,122,G,Major,70,91,79,3,0,7,10,Felicità
Komang,Raim Laode,2022,158,137123880,5,1,134,G,Major,70,35,41,41,0,10,3,Tristezza
Miss You,"Robin Schulz, Oliver Tree",2022,5730,497225336,108,197,145,F#,Minor,59,20,74,1,0,15,5,Felicità
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",2022,2442,240918092,81,248,132,B,Major,82,49,88,20,0,21,3,Carica
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2021,4893,651732901,143,110,120,G,Major,72,67,72,0,0,13,4,Felicità
Alien Blues,Vundabar,2015,1930,370068639,3,28,82,D#,Major,47,44,76,8,91,9,3,Felicità
Demasiadas Mujeres,C. Tangana,2020,2226,339473453,36,11,126,A,Minor,67,37,46,13,0,10,39,Ballabile
I Was Never There,"The Weeknd, Gesaffelstein",2018,4188,705469769,30,142,114,A#,Major,32,17,74,14,0,17,3,Felicità
Peaches (from The Super Mario Bros. Movie),Jack Black,2023,34,68216992,0,0,92,A#,Minor,71,41,31,79,0,10,5,Relax
Used (feat. Don Toliver),"SZA, Don Toliver",2022,1042,94005786,7,3,150,A#,Minor,73,71,69,53,0,32,9,Felicità
We Found Love,"Rihanna, Calvin Harris",2011,36843,1235005533,321,"4,607",128,C#,Major,73,60,77,3,0,11,4,Carica
Me Fui de Vacaciones,Bad Bunny,2022,1443,305650299,9,22,85,A#,Major,71,43,65,23,0,9,5,Ballabile
Grapejuice,Harry Styles,2022,1986,199587884,7,15,183,F,Major,65,88,72,36,14,20,3,Felicità
The Nights,Avicii,2014,17354,1456081449,92,"1,282",126,F#,Major,53,66,85,2,0,24,4,Carica
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",2021,2780,393230256,54,57,90,E,Minor,79,79,70,57,0,66,8,Felicità
Sure Thing,Miguel,2010,13801,950906471,137,435,81,B,Minor,68,51,60,3,0,19,10,Ballabile
Enchanted,Taylor Swift,2010,4564,621660989,24,113,164,G#,Major,45,24,62,8,0,16,3,Felicità
Adore You,Harry Styles,2019,13454,1439191367,246,519,99,G#,Major,68,57,77,2,0,10,5,Ballabile
GIVENCHY,Duki,2022,625,185236961,13,12,103,G#,Major,61,38,62,14,0,23,40,Ballabile
Ya No Somos Ni Seremos,Christian Nodal,2022,866,319757142,27,32,140,G,Major,59,73,45,44,0,34,3,Felicità
Shirt,SZA,2022,3469,309653982,71,31,120,D#,Minor,82,55,45,15,3,9,10,Ballabile
Best Friends,The Weeknd,2022,1292,101114984,3,14,87,E,Minor,49,49,59,44,0,35,21,Relax
In The End,Linkin Park,2000,25065,1624165576,63,"6,808",105,D#,Minor,55,40,90,1,0,32,6,Felicità
Area Codes,"Kaliii, Kaliii",2023,1197,113509496,44,25,155,C#,Major,82,51,39,2,0,9,49,Ballabile
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2023,5724,721975598,119,254,122,D,Minor,78,50,63,27,0,9,5,Carica
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2022,1657,121077868,15,3,96,B,Major,71,37,52,62,0,11,36,Relax
Numb Little Bug,Em Beihold,2022,2026,258714692,47,42,85,G#,Minor,74,61,52,30,0,26,9,Ballabile
Under The Influence,Chris Brown,2019,3859,929964809,133,3,117,A,Minor,73,31,69,6,0,11,4,Carica
XQ Te Pones Asï¿,"Yandel, Feid",2022,308,47093942,6,6,92,A#,Major,81,48,70,13,0,15,7,Ballabile
Las Morras,"BLESSD, Peso Pluma",2023,291,127026613,8,4,133,A,Minor,78,90,84,31,0,7,4,Felicità
212,"Mainstreet, Chefin",2022,352,143139338,10,39,154,D,Minor,79,86,52,66,0,9,7,Ballabile
La Bebe,Yng Lvcas,2021,489,191945597,4,5,170,D,Minor,78,75,46,62,0,12,35,Felicità
I Love You So,The Walters,2014,7536,972164968,44,135,76,A#,Major,58,46,67,65,0,13,4,Felicità
Jingle Bell Rock,Bobby Helms,1957,10326,741301563,165,104,119,D,Major,74,78,37,84,0,6,3,Ballabile
Radio,Lana Del Rey,2011,9389,284819874,24,282,150,D,Major,42,20,86,21,0,9,9,Felicità
Hits Different,Taylor Swift,2023,547,68616963,15,6,106,F,Major,67,24,78,15,0,30,4,Ballabile
Bite Me,ENHYPEN,2023,349,76767396,8,5,105,C#,Major,80,69,78,28,0,11,14,Felicità
Maroon,Taylor Swift,2022,2304,317726339,12,14,108,G,Major,64,4,40,6,0,10,6,Ballabile
All Of The Girls You Loved Before,Taylor Swift,2019,1282,185240616,26,19,96,D,Major,72,40,47,71,0,13,4,Relax
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1946,11500,389771964,140,251,139,C#,Major,36,22,15,84,0,11,4,Tristezza
Love Of My Life,Harry Styles,2022,1933,233671263,13,31,118,G,Major,56,20,54,67,0,6,5,Relax
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",2023,283,81102253,6,26,124,D#,Minor,84,65,50,67,0,13,6,Relax
Jordan,Ryan Castro,2021,2844,394030335,29,35,180,A#,Minor,80,71,68,6,0,10,37,Felicità
Santa Tell Me,Ariana Grande,2013,9408,834129063,231,439,133,G,Major,46,53,63,5,0,30,18,Carica
There's Nothing Holdin' Me Back,Shawn Mendes,2016,12382,1714490998,229,"1,370",122,D,Major,86,97,80,36,0,9,6,Felicità
Vampiro,"Matuï¿½ï¿½, Wiu, ",2022,540,187772591,26,39,115,G#,Minor,78,63,64,1,0,7,4,Carica
Ojos Marrones,Lasso,2022,795,263280370,26,15,120,G#,Minor,81,72,65,4,0,14,4,Felicità
Just Wanna Rock,Lil Uzi Vert,2022,3995,457184829,72,47,150,B,Major,49,4,55,7,0,6,3,Felicità
Freaky Deaky,"Tyga, Doja Cat",2022,1729,153240879,26,19,104,D,Minor,80,24,65,2,0,9,4,Ballabile
Layla,"Schï¿½ï¿½rze, DJ R",2022,832,130419412,18,24,140,F,Minor,44,41,92,0,0,44,7,Carica
Closer,"The Chainsmokers, Halsey",2016,28032,2591224264,315,"2,179",95,G#,Major,75,64,52,41,0,11,3,Relax
Last Last,Burna Boy,2022,4526,293466523,156,150,88,D#,Minor,80,55,56,13,0,8,9,Ballabile
NEW MAGIC WAND,"Tyler, The Creator",2019,4708,461437791,13,55,140,F,Minor,62,46,73,10,0,67,11,Carica
Auntie Diaries,Kendrick Lamar,2022,1545,37778188,1,4,78,G,Major,43,60,38,76,1,48,38,Relax
Wait a Minute!,Willow,2015,11985,924193303,79,250,101,D#,Minor,76,63,71,3,0,10,3,Ballabile
Bad Habits,Ed Sheeran,2020,12755,1555511105,344,945,126,B,Minor,81,59,90,5,0,36,3,Carica
Celestial,Ed Sheeran,2022,1639,176474912,86,80,123,D,Major,57,50,85,5,0,16,4,Carica
Lost in the Fire,"The Weeknd, Gesaffelstein",2019,7731,686734357,110,447,101,D,Major,66,18,68,9,0,12,4,Ballabile
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2023,200,90025258,8,2,123,G,Minor,70,86,68,24,0,11,4,Felicità
ULTRA SOLO,"Polima WestCoast, Pailita",2022,1367,307752576,48,34,110,C#,Major,80,26,85,23,0,11,21,Carica
Tarot,"Bad Bunny, Jhay Cortez",2022,2482,608228647,27,22,114,B,Minor,80,42,68,2,0,66,4,Carica
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",2020,6734,530511203,47,90,95,D,Major,77,40,47,2,0,9,3,Ballabile
LUNA,"Junior H, Peso Pluma",2023,201,55842345,19,8,128,A,Minor,75,79,63,33,0,15,4,Felicità
Curtains,Ed Sheeran,2023,715,39893489,37,27,176,F#,Minor,50,44,76,10,0,32,5,Carica
Run BTS,BTS,2022,736,330881149,5,17,77,G#,Major,72,70,82,2,0,4,17,Felicità
Swim,Chase Atlantic,2017,2742,498960285,5,62,120,G#,Major,67,8,54,27,0,8,4,Ballabile
Blind,SZA,2022,1484,163284000,22,12,114,A,Minor,46,60,28,91,0,21,4,Relax
Question...?,Taylor Swift,2022,1608,223064273,10,12,109,G,Major,75,11,50,20,0,30,17,Ballabile
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2023,327,92035115,14,9,104,E,Minor,80,38,88,11,0,11,5,Ballabile
IDGAF (with blackbear),"Blackbear, BoyWithUke",2022,625,197643795,10,13,98,F,Major,78,83,75,41,0,27,8,Felicità
Kahani Suno 2.0,Kaifi Khalil,2022,162,156777415,1,1,140,B,Major,58,26,38,91,0,10,4,Tristezza
Monï¿½ï¿½y so,YEAT,2021,1473,263779030,2,12,138,D,Major,69,35,57,12,0,10,9,Ballabile
Sleigh Ride,The Ronettes,1963,10114,404664135,114,262,92,D,Major,53,84,77,40,0,32,3,Felicità
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",2022,648,187701588,0,30,161,A#,Minor,59,62,60,12,0,5,44,Carica
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",2023,658,120972253,33,53,90,A#,Minor,68,83,71,3,0,31,8,Felicità
Lovers Rock,TV Girl,2014,6339,466231982,3,36,105,F,Minor,56,57,87,0,1,10,4,Felicità
Something In The Way - Remastered 2021,Nirvana,1991,9514,368646862,45,"1,197",106,G#,Major,44,8,20,74,42,11,3,Tristezza
Starlight,Dave,2022,1856,229473310,29,31,124,G,Major,95,36,37,35,0,10,28,Relax
Leï¿½,Marï¿½ï¿½lia Mendo,2022,993,267789608,30,88,130,F#,Major,74,79,87,45,0,30,3,Felicità
Gatita,Bellakath,2022,1054,168684524,9,15,101,G,Major,90,76,81,15,24,33,6,Felicità
Where Are You Now,"Lost Frequencies, Calum Scott",2021,10565,972509632,238,557,121,F#,Minor,67,26,64,52,0,17,10,Carica
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2023,269,71573339,7,30,108,A,Minor,84,55,47,26,0,20,64,Ballabile
Prohibidox,Feid,2022,1473,185392587,25,25,180,C#,Minor,65,52,80,5,0,6,25,Carica
Worldwide Steppers,Kendrick Lamar,2022,1480,61739839,1,5,72,A#,Minor,56,56,47,76,0,8,36,Relax
THATS WHAT I WANT,Lil Nas X,2021,7963,920797189,173,298,88,C#,Minor,74,55,85,1,0,5,22,Ballabile
Boy's a liar,PinkPantheress,2022,1225,156338624,27,28,133,F,Major,66,74,84,25,0,21,4,Felicità
You Right,"Doja Cat, The Weeknd",2021,5073,672656250,83,100,129,G#,Major,83,44,62,2,0,8,6,Carica
Chale,Eden Muï¿½ï,2022,695,299648208,16,13,189,G#,Major,55,86,44,40,0,7,4,Felicità
"Would've, Could've, Should've",Taylor Swift,2022,1715,177503916,4,8,158,G,Major,48,55,84,43,0,15,12,Carica
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",2022,2107,170732845,51,50,130,E,Minor,72,18,46,7,0,28,8,Ballabile
295,Sidhu Moose Wala,2021,246,183273246,4,0,90,B,Minor,68,54,76,21,0,11,20,Ballabile
When I R.I.P.,Labrinth,2019,2578,203680270,8,66,80,G#,Minor,39,45,55,73,0,9,21,Relax
ZOOM,Jessi,2022,608,136996305,5,14,100,F#,Major,87,46,60,1,0,13,16,Ballabile
