track_name,artist(s)_name,released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mood,cluster,pca1,pca2
Jordan,Ryan Castro,2021,2844,394030335,29,35,180,A#,Minor,80,71,68,6,0,10,37,Felicità,1,0.4579279124483434,-0.5394298106958105
Vampiro,"Matuï¿½ï¿½, Wiu, ",2022,540,187772591,26,39,115,G#,Minor,78,63,64,1,0,7,4,Felicità,1,-0.8514979238016109,0.5456644393179404
Ojos Marrones,Lasso,2022,795,263280370,26,15,120,G#,Minor,81,72,65,4,0,14,4,Felicità,1,-0.5602824656140735,0.7375291892841229
Closer,"The Chainsmokers, Halsey",2016,28032,2591224264,315,"2,179",95,G#,Major,75,64,52,41,0,11,3,Felicità,1,0.7813563701643927,1.4303121110815593
Wait a Minute!,Willow,2015,11985,924193303,79,250,101,D#,Minor,76,63,71,3,0,10,3,Felicità,1,-1.3309424670719874,0.43695728039431425
LUNA,"Junior H, Peso Pluma",2023,201,55842345,19,8,128,A,Minor,75,79,63,33,0,15,4,Felicità,1,0.8769844164419636,0.5522475854696336
Run BTS,BTS,2022,736,330881149,5,17,77,G#,Major,72,70,82,2,0,4,17,Felicità,1,-2.1354368201629894,0.3038570866111518
IDGAF (with blackbear),"Blackbear, BoyWithUke",2022,625,197643795,10,13,98,F,Major,78,83,75,41,0,27,8,Felicità,1,0.130036143556409,0.9676812315516491
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",2022,648,187701588,0,30,161,A#,Minor,59,62,60,12,0,5,44,Felicità,1,0.6840607997459794,-1.3186592986970096
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",2023,658,120972253,33,53,90,A#,Minor,68,83,71,3,0,31,8,Felicità,1,-1.1091506016145696,0.36402470986721486
Gatita,Bellakath,2022,1054,168684524,9,15,101,G,Major,90,76,81,15,24,33,6,Felicità,1,-1.2255797970446844,1.2119121092266127
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",2021,1560,223319934,72,0,84,G,Minor,56,61,76,10,0,14,11,Felicità,1,-1.4936299225854857,-0.6920084626125856
Shape of You,Ed Sheeran,2017,32181,3562543890,33,"6,808",96,C#,Minor,83,93,65,58,0,9,8,Felicità,1,1.2832836697387586,1.9173166232643692
Pasoori,"Shae Gill, Ali Sethi",2022,349,284249832,10,3,92,B,Minor,71,67,60,7,0,6,4,Felicità,1,-0.7519383545252053,0.7511150960417529
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",2022,1112,191873381,22,65,135,G#,Major,77,74,74,47,0,34,8,Felicità,1,0.9065072051968819,0.1897285490954144
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",2022,3983,190625045,73,119,100,B,Minor,82,76,70,16,0,8,5,Felicità,1,-0.6561269609626708,1.1181803981886056
Worst Day,Future,2022,910,50746620,20,24,89,C#,Major,65,60,60,11,0,10,40,Felicità,1,-0.7432781630097564,0.3639424075959087
Woman,Doja Cat,2021,9424,1329090101,202,463,108,F,Minor,82,88,76,9,0,12,9,Felicità,1,-0.8108345032717592,0.851619064609043
she's all i wanna be,Tate McRae,2022,2711,343197054,105,51,160,D,Minor,61,65,64,1,0,12,4,Felicità,1,0.1353497615401561,-1.3527029058757296
Nosso Quadro,"Ana Castela, AgroPlay",2023,894,233801632,14,66,160,A,Major,69,61,71,33,0,31,20,Felicità,1,0.8261760545566154,-0.9254039862012337
"jealousy, jealousy",Olivia Rodrigo,2021,3257,665765558,10,70,164,A#,Minor,70,71,58,24,0,7,13,Felicità,1,1.3296757707994848,-0.40822955010700057
Believer,Imagine Dragons,2017,18986,2594040133,250,"2,969",125,A#,Minor,77,74,78,4,0,23,11,Felicità,1,-0.9808553880771808,-0.05508727069667731
Un Coco,Bad Bunny,2022,1029,403231558,5,9,152,B,Major,84,74,69,21,0,18,6,Felicità,1,0.4598562325869285,0.333268055115522
Do It To It,"Cherish, ACRAZE",2021,12403,674772936,183,465,125,B,Minor,85,64,81,2,5,7,9,Felicità,1,-1.4275694591292478,0.2187579332770108
A Veces (feat. Feid),"Feid, Paulo Londra",2022,573,73513683,2,7,92,C#,Major,80,81,67,4,0,8,6,Felicità,1,-0.9888754721707115,1.2249029750060658
Players,Coi Leray,2022,4096,335074782,118,143,105,F#,Major,95,62,52,3,0,5,16,Felicità,1,-0.5788657784143102,2.255189301736
LALA,Myke Towers,2023,1474,133716286,48,58,92,C#,Major,71,61,74,7,0,10,4,Felicità,1,-1.482888087900296,0.1764560193007525
El Rescate,"Grupo Marca Registrada, Junior H",2022,527,287278853,10,3,99,G,Minor,79,64,59,28,0,11,14,Felicità,1,0.049452770765178226,1.275764922292943
Don't Start Now,Dua Lipa,2019,27119,2303033973,532,"1,535",124,B,Minor,79,68,79,1,0,10,8,Felicità,1,-1.273528279396014,-0.03548676240809135
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",1995,18773,579395142,128,"1,663",92,G,Major,77,76,84,3,0,38,4,Felicità,1,-1.847486635393602,0.35490960190800647
REMIX EXCLUSIVO,Feid,2023,1235,117206995,20,15,87,F,Minor,65,71,56,4,0,15,20,Felicità,1,-0.6526446082421734,0.6292206974395042
Bar,"Tini, L-Gante",2021,755,200972675,22,0,94,C#,Major,52,68,69,13,0,33,8,Felicità,1,-0.7366744947733874,-0.7785252814238234
Salimo de Noche,"Trueno, Tiago pzk",2021,1057,261414174,17,21,84,D,Major,67,78,63,29,0,12,5,Felicità,1,-0.02054840392891451,0.8108808193952889
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",2023,1945,115364561,74,87,99,C#,Major,85,83,68,7,0,36,20,Felicità,1,-0.802673365046476,1.424989702603165
SPIT IN MY FACE!,ThxSoMch,2022,629,303216294,32,9,94,G#,Major,73,65,79,5,2,11,6,Felicità,1,-1.6838921346365134,0.12282342585655455
10:35,"Tiï¿½ï¿½sto, Tate M",2022,4942,325592432,190,147,120,G#,Major,70,70,79,7,0,18,10,Felicità,1,-1.0268867339875498,-0.47647018787963513
Heaven,Niall Horan,2023,1553,144584800,61,48,92,F,Major,57,68,76,7,0,33,3,Felicità,1,-1.3368097386174764,-0.7117167588156522
Pantysito,"Feid, Alejo, Robi",2022,2995,273005485,49,30,98,G,Minor,83,63,74,14,0,16,6,Felicità,1,-1.182935226695177,0.9073366465290188
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2023,293,11956641,5,30,133,B,Minor,93,68,65,42,0,12,25,Felicità,1,0.8603740063118068,1.4736094788243106
OMG,NewJeans,2023,1783,430977451,26,15,127,A,Minor,80,74,77,36,0,11,4,Felicità,1,0.21333642546407447,0.3491921004684414
Hrs and Hrs,Muni Long,2021,1800,181328253,43,46,140,G#,Minor,51,66,53,60,0,11,18,Felicità,1,2.453311602953788,-0.827738389114058
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2023,1313,200647221,17,32,133,F,Minor,85,81,67,26,0,12,5,Felicità,1,0.499003378759627,0.9363457325188501
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",2022,2291,86176890,9,8,123,G#,Major,61,66,71,53,0,32,46,Felicità,1,1.016261138851613,-0.5650025029214525
Superman,"Eminem, Dina Rae",2002,7615,655466831,18,"1,005",130,E,Minor,80,64,76,2,0,20,6,Felicità,1,-1.0750551907583281,-0.015067511627576042
